id,species
Bb-comp12747_c0,bb
Bb-comp127495_c0,bb
Bb-comp127517_c0,bb
Bb-comp12755_c0,bb
Bb-comp12764_c0,bb
Bb-comp127655_c0,bb
Bb-comp127666_c0,bb
Bb-comp12767_c0,bb
Bb-comp127680_c0,bb
Bb-comp12777_c0,bb
Bb-comp127800_c0,bb
Bb-comp127860_c0,bb
Bb-comp127865_c0,bb
Bb-comp127871_c0,bb
Bb-comp12789_c0,bb
Bb-comp127920_c0,bb
Bb-comp12795_c0,bb
Bb-comp12806_c0,bb
Bb-comp128074_c0,bb
Bb-comp128108_c0,bb
Bb-comp12811_c0,bb
Bb-comp128135_c0,bb
Bb-comp128149_c0,bb
Bb-comp12817_c0,bb
Bb-comp128191_c0,bb
Bb-comp128241_c0,bb
Bb-comp128278_c0,bb
Bb-comp128352_c0,bb
Bb-comp128417_c0,bb
Bb-comp128437_c0,bb
Bb-comp128527_c0,bb
Bb-comp128534_c0,bb
Bb-comp128536_c0,bb
Bb-comp12853_c0,bb
Bb-comp128619_c0,bb
Bb-comp12862_c0,bb
Bb-comp128660_c0,bb
Bb-comp12866_c0,bb
Bb-comp128741_c0,bb
Bb-comp128776_c0,bb
Bb-comp128793_c0,bb
Bb-comp12883_c0,bb
Bb-comp128875_c0,bb
Bb-comp128905_c0,bb
Bb-comp12896_c0,bb
Bb-comp129022_c0,bb
Bb-comp12902_c0,bb
Bb-comp129085_c0,bb
Bb-comp129166_c0,bb
Bb-comp129289_c0,bb
Bb-comp129352_c0,bb
Bb-comp129363_c0,bb
Bb-comp129364_c0,bb
Bb-comp129400_c0,bb
Bb-comp129439_c0,bb
Bb-comp1295_c0,bb
Bb-comp12960_c0,bb
Bb-comp129660_c0,bb
Bb-comp129683_c0,bb
Bb-comp129759_c0,bb
Bb-comp129818_c0,bb
Bb-comp129836_c0,bb
Bb-comp129858_c0,bb
Bb-comp129861_c0,bb
Bb-comp129947_c0,bb
Bb-comp129950_c0,bb
Bb-comp129955_c0,bb
Bb-comp130054_c0,bb
Bb-comp130067_c0,bb
Bb-comp130068_c0,bb
Bb-comp130074_c0,bb
Bb-comp130097_c0,bb
Bb-comp130163_c0,bb
Bb-comp130171_c0,bb
Bb-comp13027_c0,bb
Bb-comp130307_c0,bb
Bb-comp13031_c1,bb
Bb-comp13045_c0,bb
Bb-comp130518_c0,bb
Bb-comp13051_c0,bb
Bb-comp13058_c1,bb
Bb-comp130602_c0,bb
Bb-comp130664_c0,bb
Bb-comp130676_c0,bb
Bb-comp130721_c0,bb
Bb-comp130739_c0,bb
Bb-comp130747_c0,bb
Bb-comp13074_c0,bb
Bb-comp13076_c0,bb
Bb-comp130806_c0,bb
Bb-comp130814_c0,bb
Bb-comp130832_c0,bb
Bb-comp130870_c0,bb
Bb-comp130907_c0,bb
Bb-comp13094_c0,bb
Bb-comp130960_c0,bb
Bb-comp131002_c0,bb
Bb-comp131072_c0,bb
Bb-comp13115_c0,bb
Bb-comp131174_c0,bb
Bb-comp13117_c0,bb
Bb-comp131183_c0,bb
Bb-comp131185_c0,bb
Bb-comp13121_c1,bb
Bb-comp131267_c0,bb
Bb-comp131274_c0,bb
Bb-comp131293_c0,bb
Bb-comp131324_c0,bb
Bb-comp131376_c0,bb
Bb-comp13143_c0,bb
Bb-comp131585_c0,bb
Bb-comp1315_c0,bb
Bb-comp131619_c0,bb
Bb-comp131784_c0,bb
Bb-comp132060_c0,bb
Bb-comp13214_c0,bb
Bb-comp1321_c0,bb
Bb-comp13220_c0,bb
Bb-comp13223_c1,bb
Bb-comp132271_c0,bb
Bb-comp13230_c0,bb
Bb-comp13232_c0,bb
Bb-comp13234_c0,bb
Bb-comp13235_c0,bb
Bb-comp132404_c0,bb
Bb-comp132405_c0,bb
Bb-comp132426_c0,bb
Bb-comp13243_c0,bb
Bb-comp132533_c0,bb
Bb-comp132577_c0,bb
Bb-comp13259_c0,bb
Bb-comp1325_c0,bb
Bb-comp132632_c0,bb
Bb-comp132655_c0,bb
Bb-comp132690_c0,bb
Bb-comp132771_c0,bb
Bb-comp13277_c0,bb
Bb-comp132824_c0,bb
Bb-comp132863_c0,bb
Bb-comp132904_c0,bb
Bb-comp132928_c0,bb
Bb-comp13294_c0,bb
Bb-comp132994_c0,bb
Bb-comp133082_c0,bb
Bb-comp133207_c0,bb
Bb-comp13321_c0,bb
Bb-comp133232_c0,bb
Bb-comp133268_c0,bb
Bb-comp133286_c0,bb
Bb-comp133289_c0,bb
Bb-comp133312_c0,bb
Bb-comp133392_c0,bb
Bb-comp1334_c0,bb
Bb-comp133569_c0,bb
Bb-comp13366_c0,bb
Bb-comp1336_c0,bb
Bb-comp133791_c0,bb
Bb-comp1337_c0,bb
Bb-comp133827_c0,bb
Bb-comp133874_c0,bb
Bb-comp133876_c0,bb
Bb-comp13395_c0,bb
Bb-comp13396_c0,bb
Bb-comp133_c0,bb
Bb-comp134131_c0,bb
Bb-comp13429_c0,bb
Bb-comp134406_c0,bb
Bb-comp13444_c0,bb
Bb-comp134461_c0,bb
Bb-comp134757_c0,bb
Bb-comp13482_c0,bb
Bb-comp134835_c0,bb
Bb-comp134894_c0,bb
Bb-comp13503_c0,bb
Bb-comp13509_c0,bb
Bb-comp135176_c0,bb
Bb-comp135179_c0,bb
Bb-comp13518_c0,bb
Bb-comp13520_c0,bb
